Pointer Name,Target Data Type,DataStructType
TControl *,TControl,Structure
TControl *,TControl,Structure
TControl *,TControl,Structure
TControlFvb *,TControlFvb,Structure
TCreateObject *,TCreateObject,Structure
TDSPChannel *,TDSPChannel,Structure
TData *,TData,Structure
TData *,TData,Structure
TData *,TData,Structure
TData *,TData,Structure
TData *,TData,Structure
TDisposer *,TDisposer,Structure
TEBit *,TEBit,Structure
TFactory *,TFactory,Structure
TFog *,TFog,Structure
TFunctionValue_list *,TFunctionValue_list,Structure
TFunctionValue_list_parameter *,TFunctionValue_list_parameter,Structure
TGlyphCacheInfo *,TGlyphCacheInfo,Structure
THeader *,THeader,Structure
THeap *,THeap,Structure
TIDData *,TIDData,Structure
TIndexData_ *,TIndexData_,Structure
TInst *,TInst,Structure
TInstEffect *,TInstEffect,Structure
TInstParam *,TInstParam,Structure
TLight *,TLight,Structure
TLinkListNode *,TLinkListNode,Structure
TNodeLinkList *,TNodeLinkList,Structure
TObject *,TObject,Structure
TObject *,TObject,Structure
TObject *,TObject,Structure
TObject *,TObject,Structure
TObject * *,TObject *,Pointer
TObject * *,TObject *,Pointer
TOsc *,TOsc,Structure
TOscillator *,TOscillator,Structure
TOuterParam *,TOuterParam,Structure
TParse_TBlock *,TParse_TBlock,Structure
TParse_TBlock *,TParse_TBlock,Structure
TParse_TBlock_object *,TParse_TBlock_object,Structure
TParse_THeader *,TParse_THeader,Structure
TPortArgs *,TPortArgs,Structure
TPortHead *,TPortHead,Structure
TProcessor *,TProcessor,Structure
TRegisterParam *,TRegisterParam,Structure
TResource *,TResource,Structure
TResourceContainer *,TResourceContainer,Structure
TSequenceProcessor *,TSequenceProcessor,Structure
TSetVariableValue_immediate *,TSetVariableValue_immediate,Structure
TSize *,TSize,Structure
TState *,TState,Structure
TSystem *,TSystem,Structure
TTrack *,TTrack,Structure
TVariableValue *,TVariableValue,Structure
TVec2<float> *,TVec2<float>,TypeDef
TVec3<float> *,TVec3<float>,Structure
TVec3<short> *,TVec3<short>,Structure
TVector_pointer *,TVector_pointer,Structure
TWaveBank *,TWaveBank,Structure
TWaveGroup *,TWaveGroup,Structure
TWaveInfo *,TWaveInfo,Structure
TWidth *,TWidth,Structure
TerminatedCString *,TerminatedCString,Unknown
Type_Attr *,Type_Attr,Structure
Type_e *,Type_e,Structure
Unit_c *,Unit_c,Structure
VRKUMO_EFF *,VRKUMO_EFF,Structure
Vec *,Vec,Structure
WIND_EFF *,WIND_EFF,Structure
WIND_INFLUENCE *,WIND_INFLUENCE,Structure
Wave_ *,Wave_,Structure
_GXColor *,_GXColor,Structure
_GXColorS10 *,_GXColorS10,Structure
_GXColorS10 * *,_GXColorS10 *,Pointer
_GXFogAdjTable *,_GXFogAdjTable,Structure
_GXLightObj *,_GXLightObj,Structure
_GXRenderModeObj *,_GXRenderModeObj,Structure
_GXTexObj *,_GXTexObj,Structure
_GXTexObj *,_GXTexObj,Structure
_GXVtxDescList *,_GXVtxDescList,Structure
_IO_FILE *,_IO_FILE,Structure
_IO_lock_t *,_IO_lock_t,TypeDef
_IO_marker *,_IO_marker,Structure
__FILE *,__FILE,TypeDef
__jnt_hit_data_c *,__jnt_hit_data_c,Structure
__off64_t *,__off64_t,TypeDef
__shop_items_set_data *,__shop_items_set_data,Structure
__shop_items_set_data * *,__shop_items_set_data *,Pointer
__shop_items_set_data *[3] *,__shop_items_set_data *[3],Array
__tag_va_List *,__tag_va_List,Structure
_ftree_seach_info_ *,_ftree_seach_info_,Structure
am2_class *,am2_class,Structure
am_class *,am_class,Structure
andsw0_class *,andsw0_class,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
anm_prm_c *,anm_prm_c,Structure
